Inputs;;;;;;;Outputs;;;;;
Flow UUID;Flow;Category;Sub-category;Unit;Result;;Flow UUID;Flow;Category;Sub-category;Unit;Result
3d73ec21-de4d-5b68-b504-4ef59e15bd0e;Europium;Resource;in ground;kg;1,26664E-07;;d78a3d22-4bed-4ad3-8a9c-1cc4645188d0;Acetone;Emission to water;unspecified;kg;1,44076E-14
26296ec9-ff93-41e6-bbbf-6175af04284d;Feldspar;Resource;in ground;kg;2,09248E-07;;4b6f838f-fde2-4f2b-9dc9-87e39a52b94e;Acetone;Emission to water;fresh water;kg;1,14593E-09
3048af84-1d72-5e3f-a739-b2d7fa7d4773;Fluorine;Resource;in ground;kg;0,000442645;;1f130425-11f9-4ec2-8d2f-d282acaacf5c;Acetone;Emission to air;high population density;kg;6,77661E-05
355785ee-56e0-455b-aaa6-bee43c82b49c;Fluorine, 4.5% in apatite, 3% in crude ore;Resource;in ground;kg;0,000382798;;5ba194c6-30c2-44fc-ae03-c992b88c9c73;Acetonitrile;Emission to water;fresh water;kg;1,92609E-10
08a91e70-3ddc-11dd-97f7-0050c2490048;Fluorspar;Resource;in ground;kg;0,027439321;;ff45a199-18e0-4777-886b-e2d0422d2f82;Acetonitrile;Emission to air;unspecified;kg;1,43049E-10
f55e2203-ef91-50bf-8f5a-119bb210522c;Gadolinium;Resource;in ground;kg;3,16118E-07;;f7553ef8-e4f3-4b9c-98be-81fa36315648;Acetonitrile;Emission to air;low population density;kg;9,29962E-07
0878c1c6-4c1d-4f90-a2de-a9383855d5c6;Gallium;Resource;in ground;kg;4,24236E-07;;bbf4d3e7-ac9e-4d6e-9da0-fe15ba3e5fd6;Acetyl chloride;Emission to water;fresh water;kg;3,3681E-10
a76ab6e5-c67b-35b1-963a-5dc06af130e4;Gas, mine, off-gas, process, coal mining/m3;Resource;in ground;m3;0,428712995;;1a13d6e7-45c9-427a-a3c9-38887ce7b86a;Acetylene;Emission to air;high population density;kg;4,08307E-06
7c337428-fb1b-45c7-bbb2-2ee4d29e17ba;Gas, natural;Resource;in ground;m3;36,11725116;;e64254e3-07d3-4330-b6de-6a858f108124;Acetylene;Emission to air;low population density;kg;2,27028E-06
fe0acd60-3ddc-11dd-a2bf-0050c2490048;Gold;Resource;in ground;kg;5,93584E-08;;42a2f3e7-5393-4a69-9b0b-f70a9139ee24;Acetylene;Emission to air;unspecified;kg;1,04932E-05
d080e6a4-42c6-484e-b5d7-d74693aec7d9;Gold;Resource;in ground;kg;2,68939E-07;;6277bb68-8dde-36f6-8d89-f588c0720ccc;Acetylene, dichloro-;Emission to air;unspecified;kg;1,24228E-07
ff741136-d6ee-444a-a15b-3b308e376db8;Gold, Au 1.1E-4%, Ag 4.2E-3%, in ore;Resource;in ground;kg;1,22487E-07;;27c7cf05-a12b-3dfb-ac83-863c0716ad29;Acetylene, dichloro-;Emission to air;high population density;kg;8,07256E-11
7cd1d217-70a7-4452-abc4-3b1100763d6d;Gold, Au 1.3E-4%, Ag 4.6E-5%, in ore;Resource;in ground;kg;2,24614E-07;;25ca862e-55b9-3922-ad34-8191dbe5dd0f;Acidity, unspecified;Emission to soil;industrial;kg;4,02142E-20
2d65a3f7-2a10-4a10-ac9e-a0cc7cd57979;Gold, Au 2.1E-4%, Ag 2.1E-4%, in ore;Resource;in ground;kg;4,10776E-07;;e1ea501a-7c9f-4cc6-a194-22543ab1b941;Acidity, unspecified;Emission to water;fresh water;kg;0,000187853
